时间,商品名称,库存变化,单笔销量
2026-03-18 14:22:31,台湾地址,初始销量: 0,0
2026-03-18 14:22:31,国际地址,初始库存: 10000,0
2026-03-18 14:22:31,台湾地址,0 -> -1,1
2026-03-18 15:15:00,台湾地址,-1 -> -2,1
2026-03-18 15:19:57,台湾地址,-2 -> -5,3
2026-03-18 16:33:14,台湾地址,-5 -> -8,3
2026-03-18 16:33:14,台湾地址,-8 -> -9,1
2026-03-18 17:30:58,台湾地址,-9 -> -10,1
2026-03-18 17:41:10,台湾地址,-10 -> -11,1
2026-03-18 18:56:18,台湾地址,-11 -> -12,1
2026-03-18 19:11:18,台湾地址,-12 -> -14,2
2026-03-18 19:26:27,台湾地址,-14 -> -18,4
2026-03-18 19:31:26,台湾地址,-18 -> -19,1
2026-03-18 19:41:35,台湾地址,-19 -> -22,3
2026-03-18 20:01:39,台湾地址,-22 -> -23,1
2026-03-18 20:46:42,台湾地址,-23 -> -24,1
2026-03-18 22:06:51,台湾地址,-24 -> -26,2
2026-03-18 22:32:08,台湾地址,-26 -> -27,1
2026-03-18 23:32:10,台湾地址,-27 -> -28,1
